question_class,default_posture,primary_center,secondary_center_or_note,default_widening_status
startup_current_branch_truth,consult_only,current_extracted_ION_branch,current branch startup/routing/default packet surfaces,non_widening
runtime_api_session,consult_only,ION-BUILD,consult current branch only if branch-local runtime question,non_widening
activation_manager_swarm,compare_centers,operation-victus,Project-Gemini continuation witness + current branch startup law if relevant,non_widening
template_meta_template_template_evolution,recover_first,historical ION-BUILD/Aether template-development center,current branch template-surface-evolution repair is secondary,non_widening
values_soul_linkage,compare_centers,values_and_soul_recovery_surfaces,compare against historical Aether centers and current branch,non_widening
compactness_burden_implementation_compression,compare_centers,production precursor pair + IONv2,current branch is required comparison partner,non_widening
archaeology_prior_atlas_prior_consolidation,consult_only,00_CONSOLIDATED_ATLAS,ProjectOpus and ATLAS are supporting archaeology centers,non_widening
wrapper_provenance_variant_interpretation,consult_only,archive_register_and_wrapper_provenance_surfaces,current_branch_variant_chain and audit-wrapper provenance are primary,non_widening
recovery_gap_unresolved_contradiction,recover_first,conflict_register + missing_evidence_register,do not flatten preserved contradictions prematurely,non_widening
current_branch_bridge_repair,bridge_repair,current extracted ION branch,only after atlas gate and conflict check,limited_widening
new_extension_candidate,bounded_extension,only after non-reinvention proof,consult all relevant preserved centers first,widening_allowed_only_if_absent
